# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
1,VCC_MOD,1,,,,,,,,,,,
2,VCC_MOD,2,,,,,,,,,,,
3,VCC_MOD,3,,,,,,,,,,,
4,VCC_MOD,4,,,,,,,,,,,
5,VCC_MOD,5,,,,,,,,,,,
6,VCC_MOD,6,,,,,,,,,,,
7,VCC_MOD,7,,,,,,,,,,,
8,VCC_MOD,8,,,,,,,,,,,
9,VCC_MOD,9,,,,,,,,,,,
10,PWR_EN,10,,,,,,,,,,,
11,VCC_MOD,11,,,,,,,,,,,
12,PWR_GOOD,12,,,,,,,,,,,
13,GND,13,,,,,,,,,,,
14,GND,14,,,,,,,,,,,
15,PL_DIR_8,15,,,,,,,,,,,
16,PL_DIR_7,16,,,,,,,,,,,
17,PL_BOOST_8,17,,,,,,,,,,,
18,PL_BOOST_7,18,,,,,,,,,,,
19,PL_EN_8,19,,,,,,,,,,,
20,GND,20,,,,,,,,,,,
21,PL_CLK_8,21,,,,,,,,,,,
22,PL_EN_7,22,,,,,,,,,,,
23,GND,23,,,,,,,,,,,
24,PL_CLK_7,24,,,,,,,,,,,
25,PL_DIR_9,25,,,,,,,,,,,
26,VCC_3V3,26,,,,,,,,,,,
27,PL_CLK_9,27,,,,,,,,,,,
28,PL_DIR_10,28,,,,,,,,,,,
29,VCC_3V3,29,,,,,,,,,,,
30,PL_CLK_10,30,,,,,,,,,,,
31,PL_BOOST_9,31,,,,,,,,,,,
32,GND,32,,,,,,,,,,,
33,PL_EN_9,33,,,,,,,,,,,
34,PL_BOOST_10,34,,,,,,,,,,,
35,GND,35,,,,,,,,,,,
36,PL_EN_10,36,,,,,,,,,,,
37,PL_PFAIL_8,37,,,,,,,,,,,
38,+1V8,38,,,,,,,,,,,
39,PL_PFAIL_7,39,,,,,,,,,,,
40,PL_DIR_6,40,,,,,,,,,,,
41,+1V8,41,,,,,,,,,,,
42,PL_BOOST_6,42,,,,,,,,,,,
43,PL_PFAIL_9,43,,,,,,,,,,,
44,GND,44,,,,,,,,,,,
45,PL_PFAIL_10,45,,,,,,,,,,,
46,PL_EN_6,46,,,,,,,,,,,
47,GND,47,,,,,,,,,,,
48,PL_CLK_6,48,,,,,,,,,,,
49,PL_PFAIL_6,49,,,,,,,,,,,
50,VCC_3V3,50,,,,,,,,,,,
51,PL_PFAIL_5,51,,,,,,,,,,,
52,PL_DIR_11,52,,,,,,,,,,,
53,VCC_2V5,53,,,,,,,,,,,
54,PL_CLK_11,54,,,,,,,,,,,
55,PL_PFAIL_11,55,,,,,,,,,,,
56,GND,56,,,,,,,,,,,
57,PL_PFAIL_12,57,,,,,,,,,,,
58,PL_BOOST_11,58,,,,,,,,,,,
59,GND,59,,,,,,,,,,,
60,PL_EN_11,60,,,,,,,,,,,
61,PL_PFAIL_4,61,,,,,,,,,,,
62,VCC_2V5,62,,,,,,,,,,,
63,PL_PFAIL_3,63,,,,,,,,,,,
64,PL_DIR_5,64,,,,,,,,,,,
65,VCC_2V5,65,,,,,,,,,,,
66,PL_BOOST_5,66,,,,,,,,,,,
67,PL_PFAIL_13,67,,,,,,,,,,,
68,GND,68,,,,,,,,,,,
69,PL_PFAIL_14,69,,,,,,,,,,,
70,PL_EN_5,70,,,,,,,,,,,
71,GND,71,,,,,,,,,,,
72,PL_CLK_5,72,,,,,,,,,,,
73,PL_PFAIL_2,73,,,,,,,,,,,
74,+1V8,74,,,,,,,,,,,
75,PL_PFAIL_1,75,,,,,,,,,,,
76,PL_DIR_12,76,,,,,,,,,,,
77,+1V8,77,,,,,,,,,,,
78,PL_CLK_12,78,,,,,,,,,,,
79,PL_PFAIL_15,79,,,,,,,,,,,
80,GND,80,,,,,,,,,,,
81,PL_PFAIL_16,81,,,,,,,,,,,
82,PL_BOOST_12,82,,,,,,,,,,,
83,GND,83,,,,,,,,,,,
84,PL_EN_12,84,,,,,,,,,,,
85,,85,,,,,,,,,,,
86,VCC_3V3,86,,,,,,,,,,,
87,,87,,,,,,,,,,,
88,PL_DIR_4,88,,,,,,,,,,,
89,VCC_2V5,89,,,,,,,,,,,
90,PL_BOOST_4,90,,,,,,,,,,,
91,,91,,,,,,,,,,,
92,PL_EN_4,92,,,,,,,,,,,
93,,93,,,,,,,,,,,
94,PL_CLK_4,94,,,,,,,,,,,
95,,95,,,,,,,,,,,
96,GND,96,,,,,,,,,,,
97,,97,,,,,,,,,,,
98,,98,,,,,,,,,,,
99,GND,99,,,,,,,,,,,
100,,100,,,,,,,,,,,
101,,101,,,,,,,,,,,
102,,102,,,,,,,,,,,
103,,103,,,,,,,,,,,
104,,104,,,,,,,,,,,
105,UART_RX_PS,105,,,,,,,,,,,
106,,106,,,,,,,,,,,
107,UART_TX_PS,107,,,,,,,,,,,
108,GND,108,,,,,,,,,,,
109,GND,109,,,,,,,,,,,
110,,110,,,,,,,,,,,
111,I2C_SCL,111,,,,,,,,,,,
112,BOOT_MODE1,112,,,,,,,,,,,
113,I2C_SDA,113,,,,,,,,,,,
114,,114,,,,,,,,,,,
115,,115,,,,,,,,,,,
116,,116,,,,,,,,,,,
117,JTAG_TDI,117,,,,,,,,,,,
118,JIT_RST,118,,,,,,,,,,,
119,JTAG_TMS,119,,,,,,,,,,,
120,GND,120,,,,,,,,,,,
121,JTAG_TDO,71,,,,,,,,,,,
122,,72,,,,,,,,,,,
123,JTAG_TCK,73,,,,,,,,,,,
124,PS_SRST#,74,,,,,,,,,,,
125,GND,75,,,,,,,,,,,
126,BOOT_MODE0,76,,,,,,,,,,,
127,,77,,,,,,,,,,,
128,,78,,,,,,,,,,,
129,,79,,,,,,,,,,,
130,PS_DONE,80,,,,,,,,,,,
131,,81,,,,,,,,,,,
132,PS_POR#,82,,,,,,,,,,,
133,,83,,,,,,,,,,,
134,GND,84,,,,,,,,,,,
135,GND,85,,,,,,,,,,,
136,,86,,,,,,,,,,,
137,,87,,,,,,,,,,,
138,GND,88,,,,,,,,,,,
139,GND,89,,,,,,,,,,,
140,,90,,,,,,,,,,,
141,,91,,,,,,,,,,,
142,GND,92,,,,,,,,,,,
143,GND,93,,,,,,,,,,,
144,,94,,,,,,,,,,,
145,ETH_D_P,95,,,,,,,,,,,
146,,96,,,,,,,,,,,
147,ETH_D_N,97,,,,,,,,,,,
148,,98,,,,,,,,,,,
149,ETH_LED0,99,,,,,,,,,,,
150,,100,,,,,,,,,,,
151,ETH_C_N,101,,,,,,,,,,,
152,,102,,,,,,,,,,,
153,ETH_C_P,103,,,,,,,,,,,
154,,104,,,,,,,,,,,
155,ETH_CTREF,105,,,,,,,,,,,
156,,106,,,,,,,,,,,
157,ETH_B_P,107,,,,,,,,,,,
158,,108,,,,,,,,,,,
159,ETH_B_N,109,,,,,,,,,,,
160,,110,,,,,,,,,,,
161,ETH_LED1,111,,,,,,,,,,,
162,,112,,,,,,,,,,,
163,ETH_A_N,113,,,,,,,,,,,
164,,114,,,,,,,,,,,
165,ETH_A_P,115,,,,,,,,,,,
166,GND,116,,,,,,,,,,,
167,GND,117,,,,,,,,,,,
168,,118,,,,,,,,,,,
