# Altium Pin Report File

Pin Designator,Net Name,Display Name,IO Bank,IO Standard,Slew Rate,Drive Strength,IO Pin,Vref Pin,CLK Pin,Config Pin,Special Pin,Group,Differential Pair
1,GND,1,,,,,,,,,,,
2,GND,2,,,,,,,,,,,
3,FPGA_SUPPLY_OK,3,,,,,,,,,,,
4,MGT_CLK_FB_CLEAN_P,4,,,,,,,,,,,
5,SFP1_LOS,5,,,,,,,,,,,
6,MGT_CLK_FB_CLEAN_N,6,,,,,,,,,,,
7,SFP1_TXDISABLE,7,,,,,,,,,,,
8,,8,,,,,,,,,,,
9,SFP1_RATESELECT,9,,,,,,,,,,,
10,MGT_CLK_REF_P,10,,,,,,,,,,,
11,GND,11,,,,,,,,,,,
12,MGT_CLK_REF_N,12,,,,,,,,,,,
13,SFP1_GBITOUT_P,13,,,,,,,,,,,
14,GND,14,,,,,,,,,,,
15,GND,15,,,,,,,,,,,
16,SFP1_GBITIN_P,16,,,,,,,,,,,
17,SFP1_GBITOUT_N,17,,,,,,,,,,,
18,GND,18,,,,,,,,,,,
19,GND,19,,,,,,,,,,,
20,SFP1_GBITIN_N,20,,,,,,,,,,,
21,,21,,,,,,,,,,,
22,GND,22,,,,,,,,,,,
23,GND,23,,,,,,,,,,,
24,,24,,,,,,,,,,,
25,,25,,,,,,,,,,,
26,GND,26,,,,,,,,,,,
27,GND,27,,,,,,,,,,,
28,,28,,,,,,,,,,,
29,,29,,,,,,,,,,,
30,GND,30,,,,,,,,,,,
31,GND,31,,,,,,,,,,,
32,,32,,,,,,,,,,,
33,,33,,,,,,,,,,,
34,GND,34,,,,,,,,,,,
35,GND,35,,,,,,,,,,,
36,,36,,,,,,,,,,,
37,,37,,,,,,,,,,,
38,GND,38,,,,,,,,,,,
39,GND,39,,,,,,,,,,,
40,,40,,,,,,,,,,,
41,,41,,,,,,,,,,,
42,GND,42,,,,,,,,,,,
43,GND,43,,,,,,,,,,,
44,,44,,,,,,,,,,,
45,PL_EN_13,45,,,,,,,,,,,
46,GND,46,,,,,,,,,,,
47,PL_BOOST_13,47,,,,,,,,,,,
48,MGT_CLK_FB_N,48,,,,,,,,,,,
49,GND,49,,,,,,,,,,,
50,MGT_CLK_FB_P,50,,,,,,,,,,,
51,PL_CLK_13,51,,,,,,,,,,,
52,+1V8,52,,,,,,,,,,,
53,PL_DIR_13,53,,,,,,,,,,,
54,PL_DIR_3,54,,,,,,,,,,,
55,VCC_3V3,55,,,,,,,,,,,
56,PL_BOOST_3,56,,,,,,,,,,,
57,PL_SW_OUTA_8,57,,,,,,,,,,,
58,GND,58,,,,,,,,,,,
59,PL_SW_OUTB_8,59,,,,,,,,,,,
60,PL_EN_3,60,,,,,,,,,,,
61,GND,61,,,,,,,,,,,
62,PL_CLK_3,62,,,,,,,,,,,
63,PL_SW_OUTA_9,63,,,,,,,,,,,
64,+1V8,64,,,,,,,,,,,
65,PL_SW_OUTB_9,65,,,,,,,,,,,
66,PL_DIR_14,66,,,,,,,,,,,
67,+1V8,67,,,,,,,,,,,
68,PL_CLK_14,68,,,,,,,,,,,
69,PL_SW_OUTA_7,69,,,,,,,,,,,
70,GND,70,,,,,,,,,,,
71,PL_SW_OUTB_7,71,,,,,,,,,,,
72,PL_BOOST_14,72,,,,,,,,,,,
73,GND,73,,,,,,,,,,,
74,PL_EN_14,74,,,,,,,,,,,
75,PL_SW_OUTA_10,75,,,,,,,,,,,
76,+1V8,76,,,,,,,,,,,
77,PL_SW_OUTB_10,77,,,,,,,,,,,
78,PL_DIR_2,78,,,,,,,,,,,
79,VCC_3V3,79,,,,,,,,,,,
80,PL_BOOST_2,80,,,,,,,,,,,
81,PL_SW_OUTA_6,81,,,,,,,,,,,
82,GND,82,,,,,,,,,,,
83,PL_SW_OUTB_6,83,,,,,,,,,,,
84,PL_EN_2,84,,,,,,,,,,,
85,GND,85,,,,,,,,,,,
86,PL_CLK_2,86,,,,,,,,,,,
87,PL_SW_OUTA_11,87,,,,,,,,,,,
88,+1V8,88,,,,,,,,,,,
89,PL_SW_OUTB_11,89,,,,,,,,,,,
90,PL_VARCLK,90,,,,,,,,,,,
91,PL_SW_OUTA_5,91,,,,,,,,,,,
92,PL_EN_16,92,,,,,,,,,,,
93,PL_SW_OUTB_5,93,,,,,,,,,,,
94,PL_BOOST_16,94,,,,,,,,,,,
95,+1V8,95,,,,,,,,,,,
96,PL_CLK_16,96,,,,,,,,,,,
97,PL_SW_OUTA_12,97,,,,,,,,,,,
98,GND,98,,,,,,,,,,,
99,PL_SW_OUTB_12,99,,,,,,,,,,,
100,PL_DIR_16,100,,,,,,,,,,,
101,PL_SW_OUTA_4,101,,,,,,,,,,,
102,PL_EN_1,102,,,,,,,,,,,
103,PL_SW_OUTB_4,103,,,,,,,,,,,
104,PL_BOOST_1,104,,,,,,,,,,,
105,GND,105,,,,,,,,,,,
106,PL_CLK_1,106,,,,,,,,,,,
107,PL_SW_OUTA_13,107,,,,,,,,,,,
108,+1V8,108,,,,,,,,,,,
109,PL_SW_OUTB_13,109,,,,,,,,,,,
110,PL_DIR_1,110,,,,,,,,,,,
111,PL_SW_OUTA_3,111,,,,,,,,,,,
112,PL_EN_15,112,,,,,,,,,,,
113,PL_SW_OUTB_3,113,,,,,,,,,,,
114,PL_BOOST_15,114,,,,,,,,,,,
115,VCC_3V3,115,,,,,,,,,,,
116,PL_CLK_15,116,,,,,,,,,,,
117,PL_SW_OUTA_14,117,,,,,,,,,,,
118,GND,118,,,,,,,,,,,
119,PL_SW_OUTB_14,119,,,,,,,,,,,
120,PL_DIR_15,120,,,,,,,,,,,
121,GND,71,,,,,,,,,,,
122,TEST_5,72,,,,,,,,,,,
123,PL_SW_OUTA_2,73,,,,,,,,,,,
